Price,Address,Property Details,Sellers Details
"$313,000","1118 Saddlebrook Drive, Rocky Mount, NC 27804","3bds3ba2,175sqft- New construction","D.R. Horton - Eastern NC, D.R. HORTON, INC."
"$299,900","224 Brunswick Drive, Nashville, NC 27856","2bds2ba1,536sqft- New construction","Four Seasons Contractors, FOUR SEASONS SALES"
"$310,000","3720 Sunset Avenue, Rocky Mount, NC 27804","3bds1ba1,140sqft- House for sale","BOONE, HILL, ALLEN & RICKS"
"$309,900+","The Oriole Gable & Hip Plan, Four Seasons Nash County New Homes","3bds2ba1,654sqft- New construction",Four Seasons Contractors
"$439,900+","The Aycock SE Updated Plan, Four Seasons Nash County New Homes","3bds3ba2,201sqft- New construction",Four Seasons Contractors
"$301,990+","Penwell Plan, Saddlebrook","3bds3ba2,175sqft- New construction",D.R. Horton - Eastern NC
"$468,900","2900 Belmont Lake Drive, Rocky Mount, NC 27804","3bds3ba2,686sqft- New construction",MOOREFIELD REAL ESTATE LLC
"$285,990","1150 Saddlebrook Dr, Rocky Mount, NC 27804","3bds2ba1,618sqft- New construction","D.R. Horton, Inc"
"$344,490","1219 Middlecrest Dr, Rocky Mount, NC 27804","5bds3ba2,800sqft- New construction","D.R. Horton, Inc."
