Price,Address,Property Details,Sellers Details
"$563,000","293 Tayriver, Rocky Mount, NC 27804","4bds3ba2,811sqft- New construction",MOOREFIELD REAL ESTATE LLC
"$135,000","913 Nashville Road, Rocky Mount, NC 27803","3bds2ba1,404sqft- House for sale",BULLOCK REALTY LLC
"$188,500","511 Hammond Street, Rocky Mount, NC 27804","4bds2ba1,985sqft- House for sale",COOPER & ASSOCIATES REAL EST
"$320,000","4037 Brassfield Drive, Rocky Mount, NC 27803","3bds3ba3,008sqft- House for sale",KW WILSON (KELLER WILLIAMS REALTY)
"$245,000","104 Rum Barrell Cove, Rocky Mount, NC 27804","3bds2ba1,656sqft- House for sale",1ST CLASS REAL ESTATE TRIANGLE EAST
"$242,990","105 Doves Mount Circle, Rocky Mount, NC 27801","4bds3ba1,765sqft- New construction",WJH BROKERAGE NC LLC
"$574,500","317 Iron Horse Rd, Rocky Mount, NC 27804","4bds4ba3,571sqft- House for sale",
"$95,000","628 Nashville Road, Rocky Mount, NC 27803","2bds1ba1,236sqft- House for sale",EXP REALTY LLC - C
"$529,800","804 Bell Drive, Rocky Mount, NC 27803","4bds4ba3,689sqft- House for sale",WPI REALTY LLC
"$995,000","2325 S Halifax Road, Rocky Mount, NC 27803","4bds2ba2,266sqft- House for sale",WILLIAM SOLOMON'S INSURANCE & REALTY
"$679,900","3400 West Hampton Drive, Rocky Mount, NC 27804","4bds3ba3,131sqft- New construction","Four Seasons Contractors, FOUR SEASONS SALES"
"$180,000","601 Starling Way, Rocky Mount, NC 27803",3bds2ba976sqft- House for sale,
"$320,000","4037 Brassfield Drive, Rocky Mount, NC 27803","3bds3ba3,008sqft- House for sale",KW WILSON (KELLER WILLIAMS REALTY)
"$245,000","104 Rum Barrell Cove, Rocky Mount, NC 27804","3bds2ba1,656sqft- House for sale",1ST CLASS REAL ESTATE TRIANGLE EAST
"$242,990","105 Doves Mount Circle, Rocky Mount, NC 27801","4bds3ba1,765sqft- New construction",WJH BROKERAGE NC LLC
"$574,500","317 Iron Horse Rd, Rocky Mount, NC 27804","4bds4ba3,571sqft- House for sale",
"$95,000","628 Nashville Road, Rocky Mount, NC 27803","2bds1ba1,236sqft- House for sale",EXP REALTY LLC - C
"$529,800","804 Bell Drive, Rocky Mount, NC 27803","4bds4ba3,689sqft- House for sale",WPI REALTY LLC
"$995,000","2325 S Halifax Road, Rocky Mount, NC 27803","4bds2ba2,266sqft- House for sale",WILLIAM SOLOMON'S INSURANCE & REALTY
"$679,900","3400 West Hampton Drive, Rocky Mount, NC 27804","4bds3ba3,131sqft- New construction","Four Seasons Contractors, FOUR SEASONS SALES"
"$180,000","601 Starling Way, Rocky Mount, NC 27803",3bds2ba976sqft- House for sale,
"$320,000","4037 Brassfield Drive, Rocky Mount, NC 27803","3bds3ba3,008sqft- House for sale",KW WILSON (KELLER WILLIAMS REALTY)
"$245,000","104 Rum Barrell Cove, Rocky Mount, NC 27804","3bds2ba1,656sqft- House for sale",1ST CLASS REAL ESTATE TRIANGLE EAST
"$242,990","105 Doves Mount Circle, Rocky Mount, NC 27801","4bds3ba1,765sqft- New construction",WJH BROKERAGE NC LLC
"$574,500","317 Iron Horse Rd, Rocky Mount, NC 27804","4bds4ba3,571sqft- House for sale",
"$95,000","628 Nashville Road, Rocky Mount, NC 27803","2bds1ba1,236sqft- House for sale",EXP REALTY LLC - C
